,h1,h2,h3,a1,a2,a3,f1,f2,f3,x1,x2,x3
0,-0.19883399999999998,0.053121,0.32209099999999996,-0.170694,0.026561,0.308237,-0.19098,0.033697000000000005,0.326264,-0.190981,0.033701,0.32626
1,-0.14264300000000002,0.088122,0.375152,-0.148899,0.052048000000000004,0.335752,-0.13981,0.062156,0.378848,-0.139811,0.06215800000000001,0.378846
2,-0.21561799999999998,0.00541,0.286423,-0.180431,-0.002519,0.285875,-0.202715,-0.008772,0.298847,-0.202716,-0.00877,0.298846
3,-0.166154,-0.006975,0.382535,-0.180269,0.016925,0.318727,-0.174111,0.012233,0.374167,-0.173742,0.015518,0.368971
4,-0.228096,0.012828999999999998,0.289337,-0.19071400000000002,0.011566,0.29425100000000004,-0.216586,0.002876,0.30513,-0.216587,0.002878,0.305128
5,-0.22768000000000002,0.023025999999999998,0.28742199999999996,-0.190896,0.012361,0.29158,-0.215924,0.012197,0.30598000000000003,-0.215925,0.0122,0.305977
6,-0.203264,0.078125,0.307442,-0.18197,0.050551,0.298642,-0.206324,0.0622,0.306975,-0.206325,0.062201,0.306974
7,-0.14777200000000001,0.127891,0.364421,-0.17583,0.11386700000000001,0.313082,-0.182215,0.12537,0.34078600000000003,-0.182276,0.125397,0.340747
8,-0.113352,0.139544,0.36885100000000004,-0.17212,0.159395,0.298894,-0.14636,0.163906,0.340789,-0.14636300000000002,0.163907,0.340791
9,-0.12290799999999999,0.112746,0.38551799999999997,-0.145794,0.082097,0.34821399999999997,-0.129159,0.085857,0.392113,-0.129162,0.08586,0.392109
10,-0.103021,0.068981,0.39776100000000003,-0.140716,0.080708,0.354633,-0.10208,0.085857,0.408778,-0.108264,0.089906,0.392447
11,-0.15165399999999998,0.035273,0.354707,-0.175247,0.0028699999999999997,0.314259,-0.153426,-0.008454000000000001,0.374281,-0.1541,0.002073,0.360039
12,-0.11246800000000001,0.119682,0.35803,-0.14160799999999998,0.12817,0.337758,-0.114823,0.117696,0.359737,-0.117976,0.117926,0.365328
13,-0.109901,0.121821,0.358076,-0.13813399999999998,0.118896,0.34213499999999997,-0.109178,0.113017,0.36791,-0.110092,0.113044,0.3697
14,-0.219584,-0.0075650000000000005,0.317305,-0.19679000000000002,0.004994,0.299979,-0.201735,-0.015159,0.335441,-0.201734,-0.015154,0.335437
15,-0.096821,0.11019200000000001,0.376758,-0.136255,0.094626,0.348002,-0.105115,0.10162,0.378951,-0.105134,0.101628,0.378946
16,-0.199349,0.084371,0.240869,-0.20593499999999998,0.054988999999999996,0.22114099999999998,-0.202939,0.072418,0.23641,-0.215313,0.06999,0.240346
17,-0.126605,0.093532,0.37727,-0.145312,0.062749,0.337561,-0.129849,0.07269,0.37782,-0.129854,0.07269500000000001,0.377814
18,-0.171429,0.093417,0.318923,-0.171666,0.060225,0.302296,-0.183059,0.072663,0.31161700000000003,-0.183178,0.072716,0.311592
19,-0.10723900000000001,0.07888300000000001,0.388719,-0.146224,0.070244,0.350584,-0.117124,0.073357,0.405865,-0.119941,0.077176,0.392455
20,-0.125126,0.060484,0.414079,-0.146964,0.099005,0.35609,-0.124875,0.111026,0.40821,-0.126148,0.111936,0.400594
21,-0.210715,0.025256999999999998,0.240434,-0.19481500000000002,0.011734999999999999,0.233116,-0.214983,0.023254,0.22861,-0.21499,0.023259,0.228608
22,-0.106796,0.139781,0.36762100000000003,-0.165994,0.16964300000000002,0.300856,-0.130215,0.171043,0.348356,-0.130217,0.171043,0.348358
23,-0.104827,0.142306,0.372936,-0.167712,0.156618,0.306452,-0.14438,0.161245,0.346765,-0.14491400000000002,0.161416,0.346658
24,-0.113344,0.139942,0.37661100000000003,-0.169487,0.139374,0.312569,-0.158698,0.147578,0.347314,-0.158702,0.147579,0.347312
25,-0.123044,-0.063708,0.371305,-0.198681,-0.009618999999999999,0.29524,-0.16187200000000002,-0.051265,0.356037,-0.16195199999999998,-0.027838,0.333806
26,-0.202493,0.071811,0.345443,-0.187583,0.044775999999999996,0.321753,-0.21123000000000006,0.052226,0.349531,-0.21123000000000006,0.052229,0.349529
27,-0.22096500000000002,0.029983999999999997,0.332276,-0.19945,0.028185,0.31518,-0.217108,0.015863,0.349781,-0.217107,0.015865999999999998,0.349777
28,-0.216779,0.017876,0.326048,-0.191815,0.011636,0.30741599999999997,-0.198821,-0.000128,0.341415,-0.198821,-0.000122,0.34141
29,-0.20883800000000002,-0.040585,0.24329499999999998,-0.19860799999999998,-0.015962999999999998,0.234361,-0.21297600000000005,-0.036786,0.229912,-0.21297600000000005,-0.036777,0.229909
30,-0.170149,0.111553,0.358526,-0.175121,0.08513,0.323435,-0.195048,0.095845,0.348845,-0.195184,0.095925,0.348733
31,-0.21308400000000002,-0.022913,0.286457,-0.187597,-0.008489,0.28105,-0.200396,-0.029861,0.29938200000000004,-0.200396,-0.029859,0.299381
32,-0.209833,-0.038912999999999996,0.27670500000000003,-0.192136,-0.013309,0.272437,-0.202652,-0.042125,0.28635700000000003,-0.202652,-0.04212,0.286356
