I0,I1,I2,O0,O1,O2,O3,O4,O5,O6,FX,FY,FZ,E1,E2,E3,I3,I4,I5,I6,I7,I8
-9.973874,29.9605,28,-75.579168,24.653912,41.298439,98.019037,-1.592728,0,-9.818693,-0.194792,0.014455,0.312737,0,0.000002,0.000001,48,128,605,49,131,609
-10.099738,-12.030351,28,-75.579168,24.653912,41.298439,98.019037,-1.592728,0,-9.818693,-0.194792,0.014455,0.312737,0,0.000002,0.000001,237,128,538,237,127,530
-16.083791,13.537221,28,-75.579168,24.653912,41.298439,98.019037,-1.592728,0,-9.818693,-0.194792,0.014455,0.312737,0,0.000002,0.000001,128,102,493,129,103,481
-19.872559,-4.554986,28,-75.579168,24.653912,41.298439,98.019037,-1.592728,0,-9.818693,-0.194792,0.014455,0.312737,0,0.000002,0.000001,201,84,508,203,86,505
-4.125696,11.98196,28,-88.232441,24.138715,53.354061,89.897886,-0.739187,0,-5.548828,-0.197922,-0.009274,0.327186,0.000001,0.00005,0.000032,91,126,492,91,126,490
-2.485056,-19.806742,28,-88.232441,24.138715,53.354061,89.897886,-0.739187,0,-5.548828,-0.197922,-0.009274,0.327186,0.000001,0.00005,0.000032,229,133,503,230,133,478
-12.01433,14.136661,28,-88.232441,24.138715,53.354061,89.897886,-0.739187,0,-5.548828,-0.197922,-0.009274,0.327186,0.000001,0.00005,0.000032,80,92,515,81,92,509
-17.880445,-8.768949,28,-88.232441,24.138715,53.354061,89.897886,-0.739187,0,-5.548828,-0.197922,-0.009274,0.327186,0.000001,0.00005,0.000032,176,67,470,179,65,469
-14.569911,6.795841,28,-86.154554,24.024537,56.025812,92.695915,-0.880417,0,-5.889443,-0.193557,-0.019671,0.312999,0.000001,0.000002,0.000001,96,106,511,96,106,535
4.597246,-20.906216,28,-86.154554,24.024537,56.025812,92.695915,-0.880417,0,-5.889443,-0.193557,-0.019671,0.312999,0.000001,0.000002,0.000001,211,187,549,215,194,564
-19.879998,-2.619925,28,-86.154554,24.024537,56.025812,92.695915,-0.880417,0,-5.889443,-0.193557,-0.019671,0.312999,0.000001,0.000002,0.000001,138,89,479,139,87,491
-19.445842,-20.860856,28,-86.154554,24.024537,56.025812,92.695915,-0.880417,0,-5.889443,-0.193557,-0.019671,0.312999,0.000001,0.000002,0.000001,214,89,520,214,84,510
9.903726,11.126044,28,-95,23.893169,59.099827,89.289229,78.062882,-8.609612,2.962388,-0.196523,-0.013796,0.359867,0.001964,0.007689,0.009358,86,126,504,87,125,515
9.978413,-25.517155,28,-95,23.893169,59.099827,89.289229,78.062882,-8.609612,2.962388,-0.196523,-0.013796,0.359867,0.001964,0.007689,0.009358,248,124,537,248,127,549
-6.058376,18.352099,28,-95,23.893169,59.099827,89.289229,78.062882,-8.609612,2.962388,-0.196523,-0.013796,0.359867,0.001964,0.007689,0.009358,47,53,642,52,51,620
0.223883,-5.243858,28,-95,23.893169,59.099827,89.289229,78.062882,-8.609612,2.962388,-0.196523,-0.013796,0.359867,0.001964,0.007689,0.009358,152,83,464,154,81,466
4.000927,1.312963,28,-94.565094,24.024392,56.029208,85.537124,-0.528446,0,-3.865949,-0.198651,-0.008762,0.343091,0.000001,0.000019,0.000012,141,129,432,142,129,437
9.802435,-8.614741,28,-94.565094,24.024392,56.029208,85.537124,-0.528446,0,-3.865949,-0.198651,-0.008762,0.343091,0.000001,0.000019,0.000012,177,153,431,178,155,424
-14.314902,22.892257,28,-94.565094,24.024392,56.029208,85.537124,-0.528446,0,-3.865949,-0.198651,-0.008762,0.343091,0.000001,0.000019,0.000012,33,47,639,37,49,622
-16.103582,-22.311194,28,-94.565094,24.024392,56.029208,85.537124,-0.528446,0,-3.865949,-0.198651,-0.008762,0.343091,0.000001,0.000019,0.000012,241,42,544,245,37,561
9.150071,24.872364,28,-75.784047,24.73933,39.299668,97.996942,-1.304049,0,-10.14763,-0.194093,0.020884,0.317603,0.000002,0.000004,0.000003,85,206,606,90,198,583
-13.996753,14.822854,28,-75.784047,24.73933,39.299668,97.996942,-1.304049,0,-10.14763,-0.194093,0.020884,0.317603,0.000002,0.000004,0.000003,134,103,471,135,104,475
-11.276132,-7.914965,28,-75.784047,24.73933,39.299668,97.996942,-1.304049,0,-10.14763,-0.194093,0.020884,0.317603,0.000002,0.000004,0.000003,229,113,507,230,113,527
6.14513,-29.007158,28,-95,23.514507,67.960523,97.517401,34.75723,-12.448894,6.405698,-0.171662,-0.056804,0.343831,0.001111,0.021529,0.018498,169,134,485,168,138,656
-6.244743,0.851049,28,-95,23.514507,67.960523,97.517401,34.75723,-12.448894,6.405698,-0.171662,-0.056804,0.343831,0.001111,0.021529,0.018498,33,89,664,33,81,937
-10.698134,-28.90178,28,-95,23.514507,67.960523,97.517401,34.75723,-12.448894,6.405698,-0.171662,-0.056804,0.343831,0.001111,0.021529,0.018498,167,76,497,167,64,710
9.166766,12.531404,28,-92.629674,24.088605,54.52662,86.761352,-0.784823,0,-4.102448,-0.198862,-0.006987,0.339902,0,0.000001,0.000001,92,158,480,94,159,477
7.296144,-10.246479,28,-92.629674,24.088605,54.52662,86.761352,-0.784823,0,-4.102448,-0.198862,-0.006987,0.339902,0,0.000001,0.000001,188,152,443,189,153,438
