,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5,I6,I7,I8,I9
0,-5.529947,24.820423,17,-84.377265,24.480704,45.351524,67.391776,-0.823033,0,-0.355444,-0.282144,0.036064,0.307625,0.000005,0.000007,0.000006,91,132,182,91,132,185
1,-5.656798,-18.926627,17,-84.377265,24.480704,45.351524,67.391776,-0.823033,0,-0.355444,-0.282144,0.036064,0.307625,0.000005,0.000007,0.000006,290,134,213,290,133,238
2,-9.797684,22.203412,17,-84.377265,24.480704,45.351524,67.391776,-0.823033,0,-0.355444,-0.282144,0.036064,0.307625,0.000005,0.000007,0.000006,103,114,175,103,114,188
3,-15.60715,-2.724859,17,-84.377265,24.480704,45.351524,67.391776,-0.823033,0,-0.355444,-0.282144,0.036064,0.307625,0.000005,0.000007,0.000006,208,88,160,209,89,185
4,3.021392,29.439918,17,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.329535,0.000028,0.000284,0.000378,136,143,216,136,140,192
5,4.023956,17.903024,17,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.329535,0.000028,0.000284,0.000378,180,150,222,180,147,194
6,-3.766329,26.816655,17,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.329535,0.000028,0.000284,0.000378,148,121,221,148,121,190
7,-12.026244,1.125969,17,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.329535,0.000028,0.000284,0.000378,260,79,278,261,84,235
8,-2.191276,2.172468,17,-95,22.999999,80,82.713934,-88.664558,-20.543022,3.503663,-0.242279,-0.091126,0.302639,0.015022,0.039505,0.018831,25,158,306,26,165,392
9,-5.781306,-27.007013,17,-95,22.999999,80,82.713934,-88.664558,-20.543022,3.503663,-0.242279,-0.091126,0.302639,0.015022,0.039505,0.018831,159,142,207,160,146,264
11,-19.775171,-29.178048,17,-95,22.999999,80,82.713934,-88.664558,-20.543022,3.503663,-0.242279,-0.091126,0.302639,0.015022,0.039505,0.018831,170,91,212,169,86,261
12,-0.838949,1.906015,17,-95,22.999999,80,84.673875,-89.059148,-20.565498,3.388136,-0.235113,-0.096483,0.304163,0.014404,0.042609,0.020145,13,164,338,14,172,437
13,9.369389,-29.726664,17,-95,22.999999,80,84.673875,-89.059148,-20.565498,3.388136,-0.235113,-0.096483,0.304163,0.014404,0.042609,0.020145,155,196,244,157,211,329
15,-17.053007,-28.984292,17,-95,22.999999,80,84.673875,-89.059148,-20.565498,3.388136,-0.235113,-0.096483,0.304163,0.014404,0.042609,0.020145,159,101,214,159,98,279
16,6.585961,21.127726,17,-95,23.650652,64.77473,69.555615,-85.537179,-20.708326,-1.223137,-0.286565,-0.025827,0.3605,0.024729,0.028927,0.033059,30,126,218,30,125,209
17,7.464878,-16.398065,17,-95,23.650652,64.77473,69.555615,-85.537179,-20.708326,-1.223137,-0.286565,-0.025827,0.3605,0.024729,0.028927,0.033059,200,129,166,200,130,156
19,-4.904052,-19.4053,17,-95,23.650652,64.77473,69.555615,-85.537179,-20.708326,-1.223137,-0.286565,-0.025827,0.3605,0.024729,0.028927,0.033059,213,73,179,214,72,156
20,-10.46737,24.697327,17,-66.074332,25.531807,20.755712,87.543565,-1.639178,-0.000002,-9.433798,-0.248855,0.085366,0.301241,0.000018,0.000039,0.000043,155,121,246,155,121,206
21,5.769278,20.496601,17,-66.074332,25.531807,20.755712,87.543565,-1.639178,-0.000002,-9.433798,-0.248855,0.085366,0.301241,0.000018,0.000039,0.000043,175,194,267,177,184,220
22,-19.929903,25.256844,17,-66.074332,25.531807,20.755712,87.543565,-1.639178,-0.000002,-9.433798,-0.248855,0.085366,0.301241,0.000018,0.000039,0.000043,153,88,245,152,92,208
24,3.859858,28.816856,17,-94.263658,24.597029,42.629505,61.435464,0.339993,-0.047918,0.925485,-0.27378,0.059454,0.35017,0.000001,0.000002,0.000002,102,124,177,102,123,188
25,8.173721,4.141937,17,-94.263658,24.597029,42.629505,61.435464,0.339993,-0.047918,0.925485,-0.27378,0.059454,0.35017,0.000001,0.000002,0.000002,206,144,182,206,141,181
26,-12.428012,19.544738,17,-94.263658,24.597029,42.629505,61.435464,0.339993,-0.047918,0.925485,-0.27378,0.059454,0.35017,0.000001,0.000002,0.000002,144,55,185,146,60,185
28,9.795301,24.879031,17,-72.718061,25.449052,22.695029,82.947265,-0.42023,-0.019899,-7.06854,-0.251224,0.085886,0.319286,0.000056,0.000333,0.000458,157,187,253,158,178,210
29,-3.776247,19.95396,17,-72.718061,25.449052,22.695029,82.947265,-0.42023,-0.019899,-7.06854,-0.251224,0.085886,0.319286,0.000056,0.000333,0.000458,175,135,231,175,133,199
30,-12.020567,27.879956,17,-72.718061,25.449052,22.695029,82.947265,-0.42023,-0.019899,-7.06854,-0.251224,0.085886,0.319286,0.000056,0.000333,0.000458,145,99,225,144,102,195
31,-8.344995,5.432987,17,-72.718061,25.449052,22.695029,82.947265,-0.42023,-0.019899,-7.06854,-0.251224,0.085886,0.319286,0.000056,0.000333,0.000458,240,109,262,240,111,231
32,-6.219402,9.523876,17,-79.961248,24.534037,44.103531,70.624646,-0.573826,0,-1.903548,-0.280832,0.032486,0.294441,0.000005,0.000008,0.000006,153,141,156,154,139,173
33,1.85654,-11.254753,17,-79.961248,24.534037,44.103531,70.624646,-0.573826,0,-1.903548,-0.280832,0.032486,0.294441,0.000005,0.000008,0.000006,245,184,198,247,181,215
34,-18.824323,29.255535,17,-79.961248,24.534037,44.103531,70.624646,-0.573826,0,-1.903548,-0.280832,0.032486,0.294441,0.000005,0.000008,0.000006,64,89,198,64,93,215
36,5.038554,28.644149,17,-78.947822,25.454788,22.557938,80.372548,-1.411989,0,-6.292884,-0.24354,0.093241,0.340837,0,0.000001,0.000003,152,136,238,151,134,201
37,3.439958,11.348653,17,-78.947822,25.454788,22.557938,80.372548,-1.411989,0,-6.292884,-0.24354,0.093241,0.340837,0,0.000001,0.000003,225,134,252,225,132,213
38,-4.887383,28.87279,17,-78.947822,25.454788,22.557938,80.372548,-1.411989,0,-6.292884,-0.24354,0.093241,0.340837,0,0.000001,0.000003,154,100,235,154,102,197
40,2.389515,-4.925434,17,-95,22.999999,80,74.992342,-79.838093,-20.596997,0.558457,-0.266624,-0.06519,0.301677,0.01494,0.026252,0.015604,105,170,212,107,176,220
41,5.815625,-27.264497,17,-95,22.999999,80,74.992342,-79.838093,-20.596997,0.558457,-0.266624,-0.06519,0.301677,0.01494,0.026252,0.015604,197,187,215,200,195,230
42,-18.918818,3.646976,17,-95,22.999999,80,74.992342,-79.838093,-20.596997,0.558457,-0.266624,-0.06519,0.301677,0.01494,0.026252,0.015604,65,87,227,66,84,243
43,-12.513324,-26.857656,17,-95,22.999999,80,74.992342,-79.838093,-20.596997,0.558457,-0.266624,-0.06519,0.301677,0.01494,0.026252,0.015604,199,112,201,199,110,209
44,3.96106,13.301624,17,-95,22.999999,80,71.58058,-46.790616,-19.46128,3.829934,-0.273918,-0.050832,0.295911,0.011721,0.017722,0.010882,33,191,281,36,196,266
45,-0.869598,-16.642201,17,-95,22.999999,80,71.58058,-46.790616,-19.46128,3.829934,-0.273918,-0.050832,0.295911,0.011721,0.017722,0.010882,169,166,193,171,170,181
46,-19.323599,16.279569,17,-95,22.999999,80,71.58058,-46.790616,-19.46128,3.829934,-0.273918,-0.050832,0.295911,0.011721,0.017722,0.010882,19,86,269,20,86,272
47,-18.311173,-14.122928,17,-95,22.999999,80,71.58058,-46.790616,-19.46128,3.829934,-0.273918,-0.050832,0.295911,0.011721,0.017722,0.010882,159,92,185,160,90,181
48,9.992396,17.458228,17,-95,23.618038,65.537893,73.602129,-41.55362,-19.820021,3.64214,-0.27848,-0.046082,0.372621,0.028733,0.040922,0.044172,21,126,249,21,125,239
49,9.472365,-20.813692,17,-95,23.618038,65.537893,73.602129,-41.55362,-19.820021,3.64214,-0.27848,-0.046082,0.372621,0.028733,0.040922,0.044172,196,123,177,196,124,165
51,8.179291,-22.807855,17,-95,23.618038,65.537893,73.602129,-41.55362,-19.820021,3.64214,-0.27848,-0.046082,0.372621,0.028733,0.040922,0.044172,206,113,170,206,113,168
52,0.031186,25.079293,17,-95,23.844356,60.242049,60.897513,-3.953325,-16.37136,6.312354,-0.286722,0.027916,0.331039,0.001998,0.001489,0.002167,80,130,156,79,130,177
53,6.766978,-5.039556,17,-95,23.844356,60.242049,60.897513,-3.953325,-16.37136,6.312354,-0.286722,0.027916,0.331039,0.001998,0.001489,0.002167,209,160,153,210,159,167
54,-11.229603,29.621989,17,-95,23.844356,60.242049,60.897513,-3.953325,-16.37136,6.312354,-0.286722,0.027916,0.331039,0.001998,0.001489,0.002167,56,79,187,57,83,198
55,-7.254644,-6.314327,17,-95,23.844356,60.242049,60.897513,-3.953325,-16.37136,6.312354,-0.286722,0.027916,0.331039,0.001998,0.001489,0.002167,215,96,155,215,97,176
56,7.985797,-3.850527,17,-94.999999,23.191945,75.5085,72.936145,-36.278385,-19.66394,3.979195,-0.275296,-0.055836,0.322833,0.01917,0.029457,0.022443,113,169,192,114,173,191
57,1.632677,-22.180939,17,-94.999999,23.191945,75.5085,72.936145,-36.278385,-19.66394,3.979195,-0.275296,-0.055836,0.322833,0.01917,0.029457,0.022443,189,147,179,190,150,169
58,-8.399274,-1.641872,17,-94.999999,23.191945,75.5085,72.936145,-36.278385,-19.66394,3.979195,-0.275296,-0.055836,0.322833,0.01917,0.029457,0.022443,105,106,183,105,105,181
59,-16.891187,-19.280362,17,-94.999999,23.191945,75.5085,72.936145,-36.278385,-19.66394,3.979195,-0.275296,-0.055836,0.322833,0.01917,0.029457,0.022443,176,71,182,176,66,182
60,0.97286,19.392239,17,-95,23.114102,77.330006,65.129723,41.065598,-11.793927,6.160849,-0.283708,-0.019746,0.29383,0.003721,0.0042,0.003174,46,179,232,48,180,228
61,-2.630194,-7.505392,17,-95,23.114102,77.330006,65.129723,41.065598,-11.793927,6.160849,-0.283708,-0.019746,0.29383,0.003721,0.0042,0.003174,166,161,168,167,162,167
62,-16.38556,25.704073,17,-95,23.114102,77.330006,65.129723,41.065598,-11.793927,6.160849,-0.283708,-0.019746,0.29383,0.003721,0.0042,0.003174,12,99,264,12,102,253
63,-18.342265,-24.35814,17,-95,23.114102,77.330006,65.129723,41.065598,-11.793927,6.160849,-0.283708,-0.019746,0.29383,0.003721,0.0042,0.003174,246,92,204,246,89,184
