,Unnamed: 0,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5,I6,I7,I8,I9
0,0,-5.529947,24.820423,17,-84.37726500000001,24.480704,45.351524,67.39177600000001,-0.823033,0.0,-0.355444,-0.282144,0.036064,0.307625,5e-06,7.000000000000001e-06,6e-06,91,132,182,91,132,185.0
1,1,-5.656798,-18.926627,17,-84.37726500000001,24.480704,45.351524,67.39177600000001,-0.823033,0.0,-0.355444,-0.282144,0.036064,0.307625,5e-06,7.000000000000001e-06,6e-06,290,134,213,290,133,238.0
2,2,-9.797684,22.203412,17,-84.37726500000001,24.480704,45.351524,67.39177600000001,-0.823033,0.0,-0.355444,-0.282144,0.036064,0.307625,5e-06,7.000000000000001e-06,6e-06,103,114,175,103,114,188.0
3,3,-15.60715,-2.724859,17,-84.37726500000001,24.480704,45.351524,67.39177600000001,-0.823033,0.0,-0.355444,-0.282144,0.036064,0.307625,5e-06,7.000000000000001e-06,6e-06,208,88,160,209,89,185.0
4,4,3.0213919999999996,29.439918,17,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.32953499999999997,2.8000000000000003e-05,0.00028399999999999996,0.00037799999999999997,136,143,216,136,140,192.0
5,5,4.023956,17.903024,17,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.32953499999999997,2.8000000000000003e-05,0.00028399999999999996,0.00037799999999999997,180,150,222,180,147,194.0
6,6,-3.7663290000000003,26.816654999999997,17,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.32953499999999997,2.8000000000000003e-05,0.00028399999999999996,0.00037799999999999997,148,121,221,148,121,190.0
7,7,-12.026244,1.125969,17,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.32953499999999997,2.8000000000000003e-05,0.00028399999999999996,0.00037799999999999997,260,79,278,261,84,235.0
8,8,-2.191276,2.172468,17,-95.0,22.999999,80.0,82.713934,-88.664558,-20.543022,3.5036629999999995,-0.242279,-0.091126,0.302639,0.015022,0.039505,0.018831,25,158,306,26,165,392.0
9,9,-5.781306,-27.007013,17,-95.0,22.999999,80.0,82.713934,-88.664558,-20.543022,3.5036629999999995,-0.242279,-0.091126,0.302639,0.015022,0.039505,0.018831,159,142,207,160,146,264.0
10,11,-19.775171,-29.178047999999997,17,-95.0,22.999999,80.0,82.713934,-88.664558,-20.543022,3.5036629999999995,-0.242279,-0.091126,0.302639,0.015022,0.039505,0.018831,170,91,212,169,86,261.0
11,12,-0.838949,1.9060150000000002,17,-95.0,22.999999,80.0,84.673875,-89.059148,-20.565498,3.3881360000000003,-0.23511300000000002,-0.096483,0.304163,0.014403999999999998,0.042608999999999994,0.020145,13,164,338,14,172,437.0
12,13,9.369389,-29.726664000000003,17,-95.0,22.999999,80.0,84.673875,-89.059148,-20.565498,3.3881360000000003,-0.23511300000000002,-0.096483,0.304163,0.014403999999999998,0.042608999999999994,0.020145,155,196,244,157,211,329.0
13,15,-17.053007,-28.984292,17,-95.0,22.999999,80.0,84.673875,-89.059148,-20.565498,3.3881360000000003,-0.23511300000000002,-0.096483,0.304163,0.014403999999999998,0.042608999999999994,0.020145,159,101,214,159,98,279.0
14,16,6.585961,21.127726000000003,17,-95.0,23.650651999999997,64.77473,69.555615,-85.53717900000001,-20.708326,-1.2231370000000001,-0.286565,-0.025827,0.3605,0.024728999999999998,0.028926999999999998,0.033059,30,126,218,30,125,209.0
15,17,7.464878,-16.398065,17,-95.0,23.650651999999997,64.77473,69.555615,-85.53717900000001,-20.708326,-1.2231370000000001,-0.286565,-0.025827,0.3605,0.024728999999999998,0.028926999999999998,0.033059,200,129,166,200,130,156.0
16,19,-4.904052,-19.4053,17,-95.0,23.650651999999997,64.77473,69.555615,-85.53717900000001,-20.708326,-1.2231370000000001,-0.286565,-0.025827,0.3605,0.024728999999999998,0.028926999999999998,0.033059,213,73,179,214,72,156.0
17,20,-10.467369999999999,24.697326999999998,17,-66.074332,25.531807,20.755712,87.543565,-1.6391779999999998,-2e-06,-9.433798,-0.24885500000000002,0.085366,0.301241,1.8e-05,3.9e-05,4.3e-05,155,121,246,155,121,206.0
18,21,5.769278,20.496601000000002,17,-66.074332,25.531807,20.755712,87.543565,-1.6391779999999998,-2e-06,-9.433798,-0.24885500000000002,0.085366,0.301241,1.8e-05,3.9e-05,4.3e-05,175,194,267,177,184,220.0
