,D,I1,I2,I3,q1,q2,q3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5
0,0,-5.529947,24.820423,17,0.004329,-0.00013,-0.000113,-84.377265,24.480704,45.351524,67.391776,-0.823033,0,-0.355444,-0.282144,0.036064,0.307625,0.000005,0.000007,0.000006,/home/martin/data/v2/filtered/0_r_img_blc.ppm,/home/martin/data/v2/filtered/0_l_img_blc.ppm
1,1,-5.656798,-18.926627,17,0.004329,-0.00013,-0.000113,-84.377265,24.480704,45.351524,67.391776,-0.823033,0,-0.355444,-0.282144,0.036064,0.307625,0.000005,0.000007,0.000006,/home/martin/data/v2/filtered/1_r_img_blc.ppm,/home/martin/data/v2/filtered/1_l_img_blc.ppm
2,2,-9.797684,22.203412,17,0.004329,-0.00013,-0.000113,-84.377265,24.480704,45.351524,67.391776,-0.823033,0,-0.355444,-0.282144,0.036064,0.307625,0.000005,0.000007,0.000006,/home/martin/data/v2/filtered/2_r_img_blc.ppm,/home/martin/data/v2/filtered/2_l_img_blc.ppm
3,3,-15.60715,-2.724859,17,0.004329,-0.00013,-0.000113,-84.377265,24.480704,45.351524,67.391776,-0.823033,0,-0.355444,-0.282144,0.036064,0.307625,0.000005,0.000007,0.000006,/home/martin/data/v2/filtered/3_r_img_blc.ppm,/home/martin/data/v2/filtered/3_l_img_blc.ppm
4,4,3.021392,29.439918,17,0.004331,0.00013,0.000113,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.329535,0.000028,0.000284,0.000378,/home/martin/data/v2/filtered/4_r_img_blc.ppm,/home/martin/data/v2/filtered/4_l_img_blc.ppm
5,5,4.023956,17.903024,17,0.004331,0.00013,0.000113,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.329535,0.000028,0.000284,0.000378,/home/martin/data/v2/filtered/5_r_img_blc.ppm,/home/martin/data/v2/filtered/5_l_img_blc.ppm
6,6,-3.766329,26.816655,17,0.004331,0.00013,0.000113,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.329535,0.000028,0.000284,0.000378,/home/martin/data/v2/filtered/6_r_img_blc.ppm,/home/martin/data/v2/filtered/6_l_img_blc.ppm
7,7,-12.026244,1.125969,17,0.004331,0.00013,0.000113,-77.281023,25.354828,24.900082,78.205694,-2.904443,-0.001611,-8.259008,-0.25332,0.084771,0.329535,0.000028,0.000284,0.000378,/home/martin/data/v2/filtered/7_r_img_blc.ppm,/home/martin/data/v2/filtered/7_l_img_blc.ppm
8,8,-2.191276,2.172468,17,0.004333,-0.00013,-0.000113,-95,22.999999,80,82.713934,-88.664558,-20.543022,3.503663,-0.242279,-0.091126,0.302639,0.015022,0.039505,0.018831,/home/martin/data/v2/filtered/8_r_img_blc.ppm,/home/martin/data/v2/filtered/8_l_img_blc.ppm
9,9,-5.781306,-27.007013,17,0.004333,-0.00013,-0.000113,-95,22.999999,80,82.713934,-88.664558,-20.543022,3.503663,-0.242279,-0.091126,0.302639,0.015022,0.039505,0.018831,/home/martin/data/v2/filtered/9_r_img_blc.ppm,/home/martin/data/v2/filtered/9_l_img_blc.ppm
