a1,a2,a3,h1,h2,h3
-0.269726,0.047362,0.319155,-0.267094,0.054222,0.280689
-0.203067,-0.027974,0.33162,-0.190671,-0.01922,0.291987
-0.248112,0.075219,0.334812,-0.262457,0.078954,0.262955
-0.196669,-0.024392,0.333824,-0.189529,-0.022705,0.287684
-0.257039,-0.042127,0.325886,-0.224144,-0.019171,0.276311
-0.212298,-0.018816,0.334065,-0.196856,-0.009301,0.301975
-0.215709,0.019727,0.330826,-0.213224,0.045182,0.319132
-0.245608,0.073382,0.336131,-0.261211,0.080799,0.262064
-0.186977,-0.025164,0.33169,-0.194467,-0.012155,0.29737
-0.172835,-0.036147,0.331664,-0.190355,-0.022995,0.287049
-0.27153,-0.043615,0.321875,-0.216617,-0.02238,0.276181
-0.274689,-0.040246,0.321382,-0.230322,-0.013893,0.279373
-0.268414,0.050195,0.317086,-0.261539,0.04618,0.281231
-0.266474,0.053864,0.317062,-0.272062,0.061349,0.269628
-0.179635,-0.038185,0.330152,-0.192238,-0.020123,0.290435
-0.274793,-0.037551,0.32136,-0.23045,-0.015733,0.276912
-0.261729,0.057228,0.324637,-0.268047,0.068343,0.28421
-0.178316,0.014559,0.330457,-0.18787,0.022997,0.299419
-0.197955,-0.031915,0.329948,-0.190872,-0.017215,0.294579
-0.192796,-0.031824,0.331218,-0.195702,-0.017082,0.29339
-0.248553,0.064412,0.33689,-0.266527,0.083267,0.271783
-0.190923,-0.005253,0.328007,-0.187616,0.004416,0.312612
-0.190603,-0.007755,0.327544,-0.193455,0.009861,0.316669
-0.268334,-0.01512,0.323625,-0.242638,-0.001442,0.286283
-0.231448,-0.021803,0.32913,-0.227981,-0.016896,0.277027
-0.177286,-0.018006,0.328061,-0.195637,0.001612,0.306084
-0.198262,0.010713,0.331196,-0.195374,0.037015,0.325117
-0.197942,0.013237,0.331851,-0.198796,0.041829,0.332158
-0.173744,-0.011316,0.327601,-0.184347,-0.004242,0.300877
-0.173156,-0.013503,0.327092,-0.192435,0.006078,0.307106
-0.2753,0.046902,0.333549,-0.234316,0.05149,0.329764
-0.196454,-0.009395,0.333251,-0.189392,0.001508,0.31399
-0.265027,0.033299,0.322913,-0.247491,0.04416,0.312098
-0.25675,0.065189,0.323998,-0.261933,0.06851,0.2685
-0.275393,-0.035672,0.320932,-0.222858,-0.019618,0.276573
-0.190898,-0.020997,0.335056,-0.190741,-0.005294,0.307633
-0.169335,0.031667,0.334014,-0.184659,0.048815,0.30241
-0.168131,0.033615,0.333915,-0.181196,0.044745,0.301705
-0.278371,-0.029776,0.321261,-0.226116,-0.01739,0.277611
-0.189915,-0.004663,0.328871,-0.185246,0.017851,0.317991
-0.245794,-0.002392,0.327324,-0.244206,0.003788,0.291147
-0.208127,-0.011163,0.336307,-0.189905,0.004498,0.316699
-0.177338,-0.005132,0.330109,-0.191319,0.012652,0.30209
-0.176637,-0.003548,0.328122,-0.190038,0.014062,0.300876
-0.24961,0.06021,0.333978,-0.255575,0.072186,0.287234
-0.186598,-0.024119,0.335288,-0.185755,-0.017833,0.29499
-0.234538,-0.024576,0.330766,-0.214919,-0.022512,0.277002
-0.235461,0.06405,0.335825,-0.244842,0.071802,0.274869
-0.233087,0.06685,0.336118,-0.243204,0.070515,0.274665
-0.173207,-0.004902,0.328663,-0.180915,0.008011,0.302499
-0.169759,-0.023824,0.33793,-0.187985,-0.020066,0.291709
-0.255203,-0.04808,0.326937,-0.212648,-0.023615,0.276582
-0.170553,-0.026968,0.337188,-0.189324,-0.018118,0.293886
-0.173029,-0.000051,0.330271,-0.180496,0.012164,0.300293
-0.259808,-0.04708,0.323295,-0.197231,-0.029553,0.274307
-0.254881,0.055335,0.332163,-0.250103,0.071412,0.299746
-0.252846,0.05858,0.332535,-0.251618,0.071152,0.303289
-0.167365,-0.008351,0.329705,-0.174913,0.002127,0.303577
-0.265739,0.035356,0.316539,-0.251599,0.042968,0.293952
-0.176225,-0.012198,0.336723,-0.16855,0.005313,0.315084
-0.227191,0.06229,0.338188,-0.240123,0.07334,0.275804
-0.160474,-0.012991,0.330612,-0.166317,-0.00627,0.298813
-0.217939,-0.019906,0.327976,-0.24328,-0.000368,0.287225
-0.255187,-0.051334,0.32268,-0.192607,-0.030964,0.273654
-0.165203,-0.001557,0.330939,-0.165942,0.007834,0.299286
-0.165132,0.000517,0.330952,-0.167084,0.005457,0.298865
-0.160073,-0.027078,0.33838,-0.162553,-0.011786,0.303476
-0.259959,0.046445,0.320416,-0.240828,0.039553,0.302172
-0.153558,-0.028872,0.338349,-0.165714,-0.010404,0.299392
-0.152484,-0.03054,0.338624,-0.183702,-0.013536,0.300684
-0.254885,0.054336,0.321295,-0.242186,0.040523,0.283972
-0.221543,-0.049764,0.326653,-0.204281,-0.027174,0.275225
-0.252205,-0.05316,0.324225,-0.195143,-0.029547,0.275107
-0.156228,0.041333,0.329523,-0.174532,0.051909,0.295278
-0.242958,0.062372,0.326872,-0.25244,0.061795,0.279192
-0.16513,0.016453,0.331889,-0.172416,0.036625,0.303316
-0.250355,0.057083,0.327934,-0.253912,0.062768,0.276529
-0.164834,0.018103,0.332045,-0.170289,0.02946,0.303724
-0.255592,0.050911,0.319613,-0.248627,0.045772,0.279301
-0.168605,0.031891,0.332297,-0.17989,0.048184,0.303607
-0.273003,0.019171,0.330829,-0.233529,0.01323,0.306211
-0.274306,0.015406,0.331147,-0.232727,0.012212,0.305544
-0.166336,0.029183,0.334187,-0.176497,0.046317,0.30151
-0.25648,0.039974,0.318969,-0.238794,0.040389,0.292223
-0.161892,-0.024497,0.340484,-0.162201,-0.009548,0.303001
-0.152961,-0.028524,0.340854,-0.162614,-0.015696,0.300125
-0.251106,0.046761,0.322285,-0.231736,0.033378,0.288308
-0.221913,-0.026699,0.33013,-0.216187,-0.021682,0.277608
-0.165299,0.014721,0.331882,-0.169639,0.036529,0.299898
-0.16469,0.016697,0.331807,-0.165323,0.026807,0.300056
-0.250514,0.045337,0.328994,-0.225696,0.049691,0.325866
-0.161461,-0.024844,0.339691,-0.160351,-0.010249,0.303631
-0.162022,-0.012594,0.332676,-0.162108,-0.003602,0.301146
-0.148887,-0.030661,0.339592,-0.156246,-0.018373,0.296494
-0.164611,0.003572,0.33185,-0.164843,0.018473,0.301976
-0.164415,0.005606,0.331447,-0.167331,0.018647,0.307717
-0.151622,-0.029012,0.340672,-0.156606,-0.015179,0.299091
-0.150571,-0.030612,0.341016,-0.158517,-0.013702,0.299335
-0.250644,0.007107,0.317929,-0.236612,0.010345,0.299475
-0.155035,-0.027986,0.338317,-0.158949,-0.013311,0.302042
-0.253598,0.021591,0.321809,-0.217186,0.015579,0.312944
-0.163426,-0.000915,0.331009,-0.16532,0.005502,0.300653
-0.163041,-0.002873,0.331121,-0.162518,0.004167,0.297987
-0.219284,0.041927,0.330436,-0.221498,0.049658,0.289343
-0.186271,0.042869,0.334611,-0.197786,0.055682,0.296735
-0.237567,0.046328,0.325001,-0.228366,0.043545,0.288013
-0.167912,-0.018594,0.342503,-0.15908,-0.00202,0.307823
-0.223149,-0.051593,0.327377,-0.181847,-0.031247,0.276319
-0.221865,-0.054606,0.324964,-0.182375,-0.031126,0.276391
-0.221865,-0.054606,0.324964,-0.190807,-0.026666,0.281379
-0.242617,0.019029,0.318153,-0.220355,0.019594,0.299748
-0.241875,0.022282,0.318047,-0.211925,0.009704,0.299528
-0.241875,0.022282,0.318047,-0.222911,0.02077,0.297916
-0.236691,-0.00039,0.319498,-0.212501,-0.006882,0.297228
-0.166069,0.023323,0.333202,-0.179216,0.046087,0.305338
-0.254484,-0.02981,0.32524,-0.215889,-0.013938,0.288895
-0.232773,-0.03138,0.327938,-0.196749,-0.021748,0.28648
-0.150463,-0.029671,0.339028,-0.164733,-0.015071,0.300831
-0.150958,0.042579,0.326755,-0.173336,0.053289,0.293112
-0.226546,-0.020221,0.330545,-0.219398,-0.012328,0.289055
-0.238654,0.010303,0.321703,-0.205357,0.001148,0.306064
-0.229554,0.017704,0.321459,-0.210821,0.017888,0.297995
-0.22778,0.020644,0.32136,-0.222261,0.028041,0.296588
-0.22778,0.020643,0.32136,-0.212576,0.015235,0.298963
-0.204306,-0.036568,0.329597,-0.185459,-0.025635,0.284132
-0.202919,-0.039146,0.330041,-0.185355,-0.026384,0.283082
-0.20176,0.028476,0.330239,-0.209555,0.039761,0.293661
-0.200156,-0.034177,0.330283,-0.206595,-0.020524,0.284514
-0.229822,-0.01305,0.333369,-0.197758,0.007697,0.317387
-0.230375,-0.009861,0.333912,-0.201642,0.00848,0.317207
-0.216731,-0.025761,0.331532,-0.202005,-0.013401,0.295743
-0.201148,0.028275,0.333706,-0.221976,0.054856,0.295969
-0.194437,0.031066,0.334373,-0.217427,0.052639,0.294236
-0.1899,0.032743,0.335029,-0.210882,0.049793,0.295789
-0.226479,0.014935,0.323831,-0.19959,0.006044,0.30772
-0.227049,0.011846,0.322603,-0.202442,0.010784,0.311284
-0.204957,-0.014661,0.333465,-0.196063,-0.01604,0.294534
-0.204361,-0.017257,0.334377,-0.199081,-0.012989,0.297303
-0.194423,0.012582,0.32869,-0.207835,0.028823,0.297125
-0.209711,0.019656,0.32874,-0.209503,0.042608,0.309723
