,I1,u1,I2,u2,u3,I3,O1,O2,O3,O4,O5,O6,O7,x1,x2,x3,y1,y2,y3,u12,u13,u14
0,26.588122,0,-40.54548,0,0,28,-95,25.708954,16.610471,106,12.62642,-18.459038,-15.671572,-0.084377,0.126344,0.39276,-0.087655,0.126913,0.388194,0.003278,-0.000569,0.004566
1,26.588122,0,-31.749496,0,0,28,-95,25.420857,23.35194,106,-37.499997,-12.202881,-3.599899,-0.10014,0.103105,0.40065,-0.103216,0.104431,0.39355,0.003075,-0.001326,0.0071
2,26.588122,0,-25.388027,0,0,28,-95,25.212828,28.219822,106,-37.499941,-16.14139,1.408468,-0.109523,0.084633,0.405345,-0.113046,0.087559,0.393477,0.003523,-0.002926,0.011869
3,26.588122,0,-19.859128,0,0,28,-95,25.038429,32.300756,105.999985,37.086053,-11.427436,5.296056,-0.11605,0.067972,0.408612,-0.11981,0.073265,0.391273,0.003759,-0.005293,0.017339
4,26.588122,0,-13.741467,0,0,28,-95,24.849337,36.725496,105.061797,-34.121256,-18.647478,4.810807,-0.121884,0.048669,0.411531,-0.126325,0.057922,0.387303,0.004441,-0.009252,0.024228
5,20.711642,0,-3.673851,0,0,28,-95,24.456625,45.914967,101.377254,38.776664,-11.469913,5.805224,-0.142382,0.012678,0.40333,-0.144915,0.027818,0.375903,0.002532,-0.01514,0.027427
6,9.67016,0,-3.673851,0,0,28,-95,24.24457,50.877059,93.954885,2.260001,-15.580489,6.486045,-0.174111,0.012233,0.374167,-0.173742,0.015518,0.368971,-0.000369,-0.003285,0.005196
7,2.890541,0,-3.673851,0,0,28,-91.666672,24.396128,47.330593,88.569108,-0.623747,0,-5.736266,-0.190432,0.0122,0.353628,-0.190433,0.012206,0.353624,0.000001,-0.000005,0.000005
8,-1.434578,0,-3.673851,0,0,28,-86.649059,24.459996,45.836072,89.704636,-1.217901,0,-6.31011,-0.19966,0.0122,0.339374,-0.19966,0.012204,0.33937,0.000001,-0.000004,0.000004
9,-11.024077,0,-3.673851,0,0,28,-75.69683,24.583706,42.94127,92.260937,-1.033261,0,-8.164748,-0.215924,0.012197,0.30598,-0.215925,0.0122,0.305977,0.000001,-0.000003,0.000002
