,I0,I1,I2,F1,F2,F3
0,-6.4193689452,13.4653321139,17.7209718204,-0.282144,0.036064,0.307625
1,-3.6275727295,-11.6842018175,26.2564606847,-0.195978,-0.043538,0.326599
2,-1.7923797823,22.5357161327,17.967202678,-0.25332,0.084771,0.329535
3,-3.0171949001,-10.7696285247,27.6462441999,-0.190918,-0.050586,0.330411
4,-5.1961361436,-12.5162158296,17.8932362453,-0.242279,-0.091126,0.302639
5,-2.0877326344,-5.7654287172,25.3397124724,-0.205154,-0.027096,0.345091
6,-3.8605464944,8.0341233929,24.6462239364,-0.208013,0.017509,0.345921
7,-1.2771946125,22.2940128744,18.2578196803,-0.251224,0.085886,0.319286
8,-4.2806232659,-11.6862662189,29.4844774067,-0.188742,-0.042022,0.314023
9,-4.8339903095,-17.7911073302,31.3511808529,-0.17465,-0.059714,0.335761
10,-5.2319138047,-10.4593246697,17.556966971,-0.266624,-0.06519,0.301677
11,-5.0492705626,-10.3233246566,17.5608515193,-0.273918,-0.050832,0.295911
12,-6.6440959648,14.3668869039,17.6639839002,-0.281408,0.037659,0.306587
13,-6.6440959648,14.3668869039,17.6639839002,-0.281408,0.037659,0.306587
14,-5.1561716035,-17.8407094106,29.5706351835,-0.179735,-0.055337,0.332516
15,-5.2459378934,-8.7170086016,17.5466834673,-0.267317,-0.06934,0.346658
16,-4.6161258577,16.6269964439,17.9286738609,-0.27474,0.057956,0.333523
17,-5.1652028502,5.5440269689,32.3019890874,-0.195592,0.009641,0.312567
18,-4.5529030766,-13.5740294421,26.8065510124,-0.186621,-0.040785,0.341998
19,-3.6795480544,-11.9026694486,28.2862987195,-0.183185,-0.044327,0.355276
20,-1.1155672176,19.6646271136,18.6123094368,-0.238547,0.083209,0.358775
21,-5.9175095971,-3.2283673908,29.5540314955,-0.19561,-0.020891,0.329107
22,-5.9175095971,-3.2283673908,29.5540314955,-0.19561,-0.020891,0.329107
23,-4.1583649028,-4.5415513651,17.4937344323,-0.275385,-0.021417,0.343249
24,-3.8707815659,-8.1054381922,22.7129744422,-0.247361,-0.075439,0.332039
25,-7.3574940948,-8.2348421869,32.8197226193,-0.18855,-0.032778,0.314064
26,-3.78402972,5.2578478429,27.9492928586,-0.197146,0.015122,0.351917
27,-3.78402972,5.2578478429,27.9492928586,-0.197146,0.015122,0.351917
28,-7.077137787,-6.3436916321,33.5831819279,-0.18671,-0.025706,0.314705
29,-7.077137787,-6.3436916321,33.5831819279,-0.18671,-0.025706,0.314705
30,-1.6710419673,13.1614475863,17.3459228242,-0.26824,0.041947,0.360608
31,-3.3246910937,-4.8227769935,28.3959814683,-0.190555,-0.022303,0.335547
32,-5.1815455455,10.1233832021,18.5209945879,-0.271122,0.036701,0.335025
33,-4.9171535166,19.0855233126,17.8952020742,-0.263064,0.050751,0.312171
34,-5.3508785285,-10.3087763691,17.625366097,-0.252206,-0.069264,0.323817
35,-1.5160989428,-8.1137957141,29.6354348595,-0.184892,-0.035085,0.339719
36,-3.7355512114,16.2219686492,32.8586203239,-0.180954,0.039313,0.323252
37,-3.7355512114,16.2219686492,32.8586203239,-0.180954,0.039313,0.323252
38,-5.2357552529,-8.6532478764,17.5295043171,-0.26339,-0.053797,0.335709
39,-5.3756306068,-0.9496140047,29.9036263677,-0.193501,-0.010228,0.337053
40,-3.5174969722,-0.5859662167,19.9033765383,-0.27546,-0.018234,0.355705
41,-1.2520838487,-5.2142912178,26.4037128722,-0.191163,-0.020677,0.343246
42,-6.3507929456,-1.6299287722,33.0469395306,-0.190458,-0.011758,0.313658
43,-6.3507929456,-1.6299287722,33.0469395306,-0.190458,-0.011758,0.313658
