,f1,f2,f3,a1,a2,a3
0,-0.282144,0.036064,0.307625,-0.254026,0.048605,0.283937
1,-0.190918,-0.050586,0.330411,-0.181254,-0.017451,0.296204
2,-0.190918,-0.050586,0.330411,-0.186668,-0.016815,0.297314
3,-0.190918,-0.050586,0.330411,-0.179856,-0.01922,0.294824
4,-0.18415,-0.055364,0.314999,-0.1809,-0.025464,0.283198
5,-0.209365,0.000133,0.355549,-0.1996,0.011186,0.310055
6,-0.286565,-0.025827,0.3605,-0.236732,0.016534,0.308886
7,-0.205154,-0.027096,0.345091,-0.200871,0.002398,0.314471
8,-0.205154,-0.027096,0.345091,-0.200848,0.002393,0.314475
9,-0.27378,0.059454,0.35017,-0.239561,0.046674,0.321238
10,-0.208013,0.017509,0.345921,-0.208728,0.030378,0.310278
11,-0.280832,0.032486,0.294441,-0.251217,0.045916,0.284338
12,-0.280832,0.032486,0.294441,-0.251817,0.046366,0.283504
13,-0.24354,0.093241,0.340837,-0.247767,0.092686,0.308275
14,-0.201376,-0.01204,0.316548,-0.205231,0.007334,0.282568
15,-0.273918,-0.050832,0.295911,-0.232969,-0.011838,0.278521
16,-0.189495,-0.043197,0.322972,-0.182767,-0.018347,0.294501
17,-0.186256,-0.045544,0.314552,-0.17582,-0.022251,0.289511
18,-0.286722,0.027916,0.331039,-0.235275,0.043955,0.316949
19,-0.193152,0.039282,0.334026,-0.192538,0.038032,0.30233
20,-0.193152,0.039282,0.334026,-0.205475,0.038951,0.300708
21,-0.191683,0.040594,0.355326,-0.206526,0.036546,0.310988
22,-0.283708,-0.019746,0.29383,-0.248923,0.038873,0.279183
23,-0.283708,-0.019746,0.29383,-0.244467,0.02387,0.283503
24,-0.191683,0.040594,0.355326,-0.211338,0.041638,0.30482
25,-0.191683,0.040594,0.355326,-0.207171,0.042908,0.315513
26,-0.243255,0.09299,0.325822,-0.233166,0.083016,0.288057
27,-0.201834,0.015615,0.357297,-0.202002,0.018411,0.315118
28,-0.200613,-0.010665,0.311499,-0.198303,0.009851,0.285834
29,-0.179735,-0.055337,0.332516,-0.172651,-0.021508,0.292049
30,-0.241582,0.092244,0.30642,-0.190413,0.07549,0.295974
31,-0.179735,-0.055337,0.332516,-0.172999,-0.022133,0.290578
32,-0.195592,0.009641,0.312567,-0.199108,0.019397,0.292515
33,-0.27474,0.057956,0.333523,-0.242797,0.055806,0.30673
34,-0.183185,-0.044327,0.355276,-0.185769,-0.011578,0.302679
