     1	0.000000 0.000000 5.370616 0.000000 0.000000 28.000000 -95.000000 23.883101 59.335430 86.695033 0.230843 -4.961918 -0.038317 -0.198729 -0.014473 0.340785 -0.198729 -0.014470 0.340783 -0.000000 -0.000003 0.000002 
     2	0.000000 0.000000 17.589372 0.000000 0.000000 28.000000 -95.000000 23.477238 68.832629 92.609249 53.357261 -10.546762 5.414481 -0.191310 -0.054246 0.340785 -0.188042 -0.034576 0.323936 -0.003268 -0.019671 0.016849 
     3	0.000000 0.000000 19.859597 0.000000 0.000000 28.000000 -95.000000 23.401538 70.603997 94.287864 48.549155 -11.042530 5.770518 -0.186655 -0.067969 0.340786 -0.183042 -0.039900 0.318381 -0.003613 -0.028069 0.022404 
     4	0.000000 0.000000 5.432841 0.000000 0.000000 28.000000 -95.000000 23.692769 63.789204 89.176349 -51.597770 -20.352319 2.570795 -0.198000 -0.021363 0.340785 -0.197410 -0.019027 0.338362 -0.000590 -0.002336 0.002423 
     5	0.000000 0.000000 -5.195700 0.000000 0.000000 28.000000 -86.672764 24.484075 45.272629 89.964871 -1.126488 0.000000 -6.174035 -0.198700 0.013826 0.340785 -0.198701 0.013832 0.340780 0.000001 -0.000006 0.000005 
     6	0.000000 0.000000 -9.894931 0.000000 0.000000 28.000000 -82.852859 24.749005 39.073276 92.490353 -1.157818 0.000000 -7.993291 -0.196928 0.029341 0.340785 -0.196929 0.029344 0.340782 0.000001 -0.000004 0.000003 
     7	0.000000 0.000000 -13.090538 0.000000 0.000000 28.000000 -80.602465 24.916320 35.158094 94.178181 -1.478439 0.000000 -9.169174 -0.194989 0.039827 0.340785 -0.194991 0.039831 0.340782 0.000002 -0.000004 0.000004 
     8	0.000000 0.000000 -17.737317 0.000000 0.000000 28.000000 -77.752937 25.145464 29.796119 96.731338 -1.825694 0.000000 -10.487436 -0.191137 0.054823 0.340785 -0.191143 0.054831 0.340778 0.000005 -0.000007 0.000007 
     9	-7.811333 0.000000 -13.179831 0.000000 0.000000 28.000000 -71.870049 25.078057 31.373461 96.832518 -1.243609 0.000000 -10.902745 -0.206142 0.045108 0.317972 -0.206146 0.045114 0.317968 0.000004 -0.000005 0.000004 
    10	-12.117038 0.000000 1.807263 0.000000 0.000000 28.000000 -77.823783 24.339085 48.665396 90.453984 -1.141075 0.000000 -6.495525 -0.218742 -0.002638 0.299262 -0.218745 -0.002630 0.299256 0.000003 -0.000008 0.000006 
    11	-17.736121 0.000000 10.962452 0.000000 0.000000 28.000000 -82.876661 23.764547 62.109576 87.100512 -1.004527 0.000000 -3.470837 -0.222002 -0.032912 0.280099 -0.222001 -0.032910 0.280098 -0.000000 -0.000002 0.000001 
    12	-30.805468 0.000000 21.314130 0.000000 0.000000 28.000000 -86.929127 22.999999 80.000000 88.346573 -25.586656 -2.704276 12.703647 -0.220848 -0.066623 0.236399 -0.220273 -0.064623 0.236135 -0.000575 -0.002000 0.000264 
    13	-37.357847 0.000000 31.964757 0.000000 0.000000 28.000000 -82.225424 22.999999 80.000000 94.471388 -62.822931 -12.532948 18.714995 -0.208564 -0.097890 0.219738 -0.203512 -0.070507 0.217565 -0.005053 -0.027383 0.002173 
    14	-25.101555 0.000000 22.643817 0.000000 0.000000 28.000000 -90.106713 22.999999 80.000000 89.273951 67.887773 -2.810355 -13.044212 -0.216443 -0.075647 0.251496 -0.213510 -0.064506 0.249731 -0.002933 -0.011141 0.001766 
    15	-12.862589 0.000000 14.841074 0.000000 0.000000 28.000000 -95.000000 23.071950 78.316350 86.004162 -1.578715 -14.731457 5.894699 -0.214612 -0.050912 0.293078 -0.214540 -0.050804 0.292985 -0.000072 -0.000108 0.000094 
    16	0.835764 0.000000 8.441297 0.000000 0.000000 28.000000 -95.000000 23.629003 65.281320 89.847547 54.002721 -10.422864 5.281048 -0.197254 -0.029535 0.340192 -0.195847 -0.023525 0.334287 -0.001407 -0.006010 0.005904 
    17	8.065265 0.000000 -4.251397 0.000000 0.000000 28.000000 -95.000000 24.233599 51.133778 90.509588 0.420181 -9.526247 2.020782 -0.182376 0.010665 0.364506 -0.182376 0.010666 0.364505 0.000000 -0.000002 0.000002 
    18	22.093582 0.000000 -8.088461 0.000000 0.000000 28.000000 -95.000000 24.559507 43.507520 100.884981 -49.161825 -19.846186 3.317727 -0.143252 0.025699 0.401243 -0.145101 0.036153 0.380301 0.001848 -0.010454 0.020942 
    19	18.060912 0.000000 -8.088461 0.000000 0.000000 28.000000 -95.000000 24.535381 44.072072 99.545144 -53.637135 -20.083620 2.853560 -0.149112 0.026566 0.396442 -0.150111 0.034865 0.380026 0.000999 -0.008300 0.016415 
    20	7.102189 0.000000 -8.088461 0.000000 0.000000 28.000000 -92.689040 24.592276 42.740730 90.058199 -1.119159 0.000000 -6.327817 -0.178992 0.026769 0.366525 -0.178993 0.026771 0.366524 0.000001 -0.000002 0.000001 
    21	-0.084526 0.000000 -8.088461 0.000000 0.000000 28.000000 -84.525706 24.693467 40.372860 91.721280 -1.462157 -0.000001 -7.766447 -0.195379 0.026785 0.343899 -0.195392 0.026806 0.343875 0.000014 -0.000021 0.000024 
    22	-3.324803 0.000000 -8.088461 0.000000 0.000000 28.000000 -80.815926 24.737266 39.347954 92.679050 -0.807427 0.000000 -8.170628 -0.201812 0.026783 0.333052 -0.201815 0.026790 0.333048 0.000002 -0.000007 0.000005 
    23	-7.081953 0.000000 -8.088461 0.000000 0.000000 28.000000 -76.559039 24.779531 38.358953 93.495856 -2.347140 0.000000 -8.965110 -0.208462 0.026785 0.320098 -0.208464 0.026787 0.320097 0.000002 -0.000002 0.000001 
